reading dataset "/data/xjs/index/dvstor_sift100m/converted/base_100000000.u8bin" (dim=128, vectors=100000000/100000000, dtype=uint8, vector_bytes=128)
Building Vamana graph 12% (12142828/100000000) elapsed 21m15s
Building Vamana graph 12% (12322528/100000000) elapsed 21m30s
Building Vamana graph 12% (12502189/100000000) elapsed 21m45s
Building Vamana graph 12% (12682287/100000000) elapsed 22m0s
Building Vamana graph 12% (12862807/100000000) elapsed 22m15s
Building Vamana graph 13% (13043234/100000000) elapsed 22m30s
Building Vamana graph 13% (13223980/100000000) elapsed 22m45s
Building Vamana graph 13% (13404713/100000000) elapsed 23m0s
Building Vamana graph 13% (13585758/100000000) elapsed 23m15s
Building Vamana graph 13% (13766894/100000000) elapsed 23m30s
Building Vamana graph 13% (13948234/100000000) elapsed 23m45s
Building Vamana graph 14% (14129490/100000000) elapsed 24m0s
Building Vamana graph 14% (14311063/100000000) elapsed 24m15s
Building Vamana graph 14% (14492814/100000000) elapsed 24m30s
Building Vamana graph 14% (14674989/100000000) elapsed 24m45s
Building Vamana graph 14% (14857033/100000000) elapsed 25m0s
Building Vamana graph 15% (15002964/100000000) elapsed 25m12s
Building Vamana graph 15% (15185503/100000000) elapsed 25m27s
Building Vamana graph 15% (15368134/100000000) elapsed 25m42s
Building Vamana graph 15% (15551002/100000000) elapsed 25m57s
Building Vamana graph 15% (15734707/100000000) elapsed 26m12s
Building Vamana graph 15% (15918192/100000000) elapsed 26m27s
Building Vamana graph 16% (16101756/100000000) elapsed 26m42s
Building Vamana graph 16% (16285269/100000000) elapsed 26m57s
Building Vamana graph 16% (16469062/100000000) elapsed 27m13s
Building Vamana graph 16% (16653543/100000000) elapsed 27m28s
Building Vamana graph 16% (16838272/100000000) elapsed 27m43s
Building Vamana graph 17% (17022987/100000000) elapsed 27m58s
Building Vamana graph 17% (17207456/100000000) elapsed 28m13s
Building Vamana graph 17% (17392113/100000000) elapsed 28m28s
Building Vamana graph 17% (17576699/100000000) elapsed 28m43s
Building Vamana graph 17% (17760905/100000000) elapsed 28m58s
Building Vamana graph 17% (17945693/100000000) elapsed 29m13s
Building Vamana graph 18% (18130523/100000000) elapsed 29m28s
Building Vamana graph 18% (18315488/100000000) elapsed 29m43s
Building Vamana graph 18% (18500897/100000000) elapsed 29m58s
Building Vamana graph 18% (18686139/100000000) elapsed 30m13s
Building Vamana graph 18% (18871646/100000000) elapsed 30m28s
Building Vamana graph 19% (19057237/100000000) elapsed 30m43s
Building Vamana graph 19% (19242603/100000000) elapsed 30m58s
Building Vamana graph 19% (19428704/100000000) elapsed 31m13s
Building Vamana graph 19% (19614404/100000000) elapsed 31m28s
Building Vamana graph 19% (19800483/100000000) elapsed 31m43s
Building Vamana graph 19% (19986488/100000000) elapsed 31m58s
Building Vamana graph 20% (20002025/100000000) elapsed 31m59s
Building Vamana graph 20% (20188363/100000000) elapsed 32m14s
Building Vamana graph 20% (20374857/100000000) elapsed 32m29s
Building Vamana graph 20% (20561264/100000000) elapsed 32m44s
Building Vamana graph 20% (20747842/100000000) elapsed 32m59s
Building Vamana graph 20% (20934453/100000000) elapsed 33m14s
Building Vamana graph 21% (21121088/100000000) elapsed 33m29s
Building Vamana graph 21% (21307730/100000000) elapsed 33m44s
Building Vamana graph 21% (21494267/100000000) elapsed 33m59s
Building Vamana graph 21% (21680972/100000000) elapsed 34m14s
Building Vamana graph 21% (21867742/100000000) elapsed 34m29s
Building Vamana graph 22% (22054348/100000000) elapsed 34m44s
Building Vamana graph 22% (22241096/100000000) elapsed 34m59s
Building Vamana graph 22% (22427933/100000000) elapsed 35m14s
Building Vamana graph 22% (22614609/100000000) elapsed 35m29s
Building Vamana graph 22% (22801625/100000000) elapsed 35m44s
Building Vamana graph 22% (22988718/100000000) elapsed 35m59s
Building Vamana graph 23% (23175578/100000000) elapsed 36m14s
Building Vamana graph 23% (23362300/100000000) elapsed 36m29s
Building Vamana graph 23% (23549101/100000000) elapsed 36m44s
Building Vamana graph 23% (23736543/100000000) elapsed 36m59s
Building Vamana graph 23% (23924092/100000000) elapsed 37m14s
Building Vamana graph 24% (24111568/100000000) elapsed 37m29s
Building Vamana graph 24% (24298902/100000000) elapsed 37m44s
Building Vamana graph 24% (24486199/100000000) elapsed 37m59s
Building Vamana graph 24% (24673835/100000000) elapsed 38m14s
Building Vamana graph 24% (24861743/100000000) elapsed 38m29s
Building Vamana graph 25% (25002521/100000000) elapsed 38m40s
Building Vamana graph 25% (25190331/100000000) elapsed 38m55s
Building Vamana graph 25% (25378466/100000000) elapsed 39m10s
Building Vamana graph 25% (25566397/100000000) elapsed 39m25s
Building Vamana graph 25% (25754348/100000000) elapsed 39m40s
Building Vamana graph 25% (25942440/100000000) elapsed 39m55s
Building Vamana graph 26% (26130698/100000000) elapsed 40m10s
Building Vamana graph 26% (26318804/100000000) elapsed 40m25s
Building Vamana graph 26% (26507026/100000000) elapsed 40m40s
Building Vamana graph 26% (26695098/100000000) elapsed 40m55s
Building Vamana graph 26% (26883356/100000000) elapsed 41m10s
Building Vamana graph 27% (27071414/100000000) elapsed 41m25s
Building Vamana graph 27% (27259536/100000000) elapsed 41m40s
Building Vamana graph 27% (27447930/100000000) elapsed 41m55s
Building Vamana graph 27% (27636377/100000000) elapsed 42m10s
Building Vamana graph 27% (27824898/100000000) elapsed 42m25s
Building Vamana graph 28% (28013548/100000000) elapsed 42m40s
Building Vamana graph 28% (28202199/100000000) elapsed 42m55s
Building Vamana graph 28% (28390734/100000000) elapsed 43m10s
Building Vamana graph 28% (28579299/100000000) elapsed 43m25s
Building Vamana graph 28% (28768148/100000000) elapsed 43m40s
Building Vamana graph 28% (28956778/100000000) elapsed 43m55s
Building Vamana graph 29% (29145630/100000000) elapsed 44m10s
Building Vamana graph 29% (29334518/100000000) elapsed 44m25s
Building Vamana graph 29% (29523329/100000000) elapsed 44m40s
Building Vamana graph 29% (29712226/100000000) elapsed 44m55s
Building Vamana graph 29% (29901046/100000000) elapsed 45m10s
Building Vamana graph 30% (30001824/100000000) elapsed 45m18s
Building Vamana graph 30% (30190594/100000000) elapsed 45m33s
Building Vamana graph 30% (30379435/100000000) elapsed 45m48s
Building Vamana graph 30% (30568359/100000000) elapsed 46m3s
Building Vamana graph 30% (30757137/100000000) elapsed 46m18s
Building Vamana graph 30% (30945830/100000000) elapsed 46m33s
Building Vamana graph 31% (31134706/100000000) elapsed 46m48s
Building Vamana graph 31% (31323730/100000000) elapsed 47m3s
Building Vamana graph 31% (31512727/100000000) elapsed 47m18s
Building Vamana graph 31% (31701735/100000000) elapsed 47m33s
Building Vamana graph 31% (31890605/100000000) elapsed 47m48s
Building Vamana graph 32% (32079508/100000000) elapsed 48m3s
Building Vamana graph 32% (32268289/100000000) elapsed 48m18s
Building Vamana graph 32% (32457523/100000000) elapsed 48m33s
Building Vamana graph 32% (32646542/100000000) elapsed 48m48s
Building Vamana graph 32% (32835453/100000000) elapsed 49m3s
Building Vamana graph 33% (33024185/100000000) elapsed 49m18s
Building Vamana graph 33% (33213150/100000000) elapsed 49m33s
Building Vamana graph 33% (33402088/100000000) elapsed 49m48s
Building Vamana graph 33% (33590896/100000000) elapsed 50m3s
Building Vamana graph 33% (33779551/100000000) elapsed 50m18s
Building Vamana graph 33% (33968356/100000000) elapsed 50m33s
Building Vamana graph 34% (34157272/100000000) elapsed 50m48s
Building Vamana graph 34% (34346573/100000000) elapsed 51m3s
Building Vamana graph 34% (34535790/100000000) elapsed 51m18s
Building Vamana graph 34% (34724993/100000000) elapsed 51m33s
Building Vamana graph 34% (34914491/100000000) elapsed 51m48s
Building Vamana graph 35% (35003020/100000000) elapsed 51m55s
Building Vamana graph 35% (35192638/100000000) elapsed 52m10s
Building Vamana graph 35% (35382031/100000000) elapsed 52m25s
Building Vamana graph 35% (35571622/100000000) elapsed 52m40s
Building Vamana graph 35% (35761183/100000000) elapsed 52m55s
Building Vamana graph 35% (35950673/100000000) elapsed 53m10s
Building Vamana graph 36% (36140437/100000000) elapsed 53m25s
Building Vamana graph 36% (36330114/100000000) elapsed 53m40s
Building Vamana graph 36% (36519952/100000000) elapsed 53m55s
Building Vamana graph 36% (36709729/100000000) elapsed 54m10s
Building Vamana graph 36% (36899750/100000000) elapsed 54m25s
Building Vamana graph 37% (37089688/100000000) elapsed 54m40s
Building Vamana graph 37% (37279684/100000000) elapsed 54m55s
Building Vamana graph 37% (37469540/100000000) elapsed 55m10s
Building Vamana graph 37% (37659024/100000000) elapsed 55m26s
Building Vamana graph 37% (37848900/100000000) elapsed 55m41s
Building Vamana graph 38% (38038590/100000000) elapsed 55m56s
Building Vamana graph 38% (38228171/100000000) elapsed 56m11s
Building Vamana graph 38% (38418161/100000000) elapsed 56m26s
Building Vamana graph 38% (38608225/100000000) elapsed 56m41s
Building Vamana graph 38% (38798262/100000000) elapsed 56m56s
Building Vamana graph 38% (38988257/100000000) elapsed 57m11s
Building Vamana graph 39% (39178270/100000000) elapsed 57m26s
Building Vamana graph 39% (39368361/100000000) elapsed 57m41s
Building Vamana graph 39% (39558304/100000000) elapsed 57m56s
Building Vamana graph 39% (39748484/100000000) elapsed 58m11s
Building Vamana graph 39% (39938685/100000000) elapsed 58m26s
Building Vamana graph 40% (40002079/100000000) elapsed 58m31s
Building Vamana graph 40% (40192379/100000000) elapsed 58m46s
Building Vamana graph 40% (40382392/100000000) elapsed 59m1s
Building Vamana graph 40% (40572598/100000000) elapsed 59m16s
Building Vamana graph 40% (40762646/100000000) elapsed 59m31s
Building Vamana graph 40% (40952920/100000000) elapsed 59m46s
Building Vamana graph 41% (41143166/100000000) elapsed 1h0m1s
Building Vamana graph 41% (41333532/100000000) elapsed 1h0m16s
Building Vamana graph 41% (41523700/100000000) elapsed 1h0m31s
Building Vamana graph 41% (41714046/100000000) elapsed 1h0m46s
Building Vamana graph 41% (41904572/100000000) elapsed 1h1m1s
Building Vamana graph 42% (42095207/100000000) elapsed 1h1m16s
Building Vamana graph 42% (42285821/100000000) elapsed 1h1m31s
Building Vamana graph 42% (42476244/100000000) elapsed 1h1m46s
Building Vamana graph 42% (42666790/100000000) elapsed 1h2m1s
Building Vamana graph 42% (42857097/100000000) elapsed 1h2m16s
Building Vamana graph 43% (43047777/100000000) elapsed 1h2m31s
Building Vamana graph 43% (43238425/100000000) elapsed 1h2m46s
Building Vamana graph 43% (43429128/100000000) elapsed 1h3m1s
Building Vamana graph 43% (43619706/100000000) elapsed 1h3m16s
Building Vamana graph 43% (43810094/100000000) elapsed 1h3m31s
Building Vamana graph 44% (44000698/100000000) elapsed 1h3m46s
Building Vamana graph 44% (44191570/100000000) elapsed 1h4m1s
Building Vamana graph 44% (44382122/100000000) elapsed 1h4m16s
Building Vamana graph 44% (44572762/100000000) elapsed 1h4m31s
Building Vamana graph 44% (44763480/100000000) elapsed 1h4m46s
Building Vamana graph 44% (44954073/100000000) elapsed 1h5m1s
Building Vamana graph 45% (45001704/100000000) elapsed 1h5m4s
Building Vamana graph 45% (45192499/100000000) elapsed 1h5m19s
Building Vamana graph 45% (45383059/100000000) elapsed 1h5m34s
Building Vamana graph 45% (45573443/100000000) elapsed 1h5m49s
Building Vamana graph 45% (45763954/100000000) elapsed 1h6m4s
Building Vamana graph 45% (45954599/100000000) elapsed 1h6m19s
Building Vamana graph 46% (46145095/100000000) elapsed 1h6m34s
Building Vamana graph 46% (46335694/100000000) elapsed 1h6m49s
Building Vamana graph 46% (46526390/100000000) elapsed 1h7m4s
Building Vamana graph 46% (46717076/100000000) elapsed 1h7m19s
Building Vamana graph 46% (46907501/100000000) elapsed 1h7m34s
Building Vamana graph 47% (47098379/100000000) elapsed 1h7m49s
Building Vamana graph 47% (47289043/100000000) elapsed 1h8m4s
Building Vamana graph 47% (47479389/100000000) elapsed 1h8m19s
Building Vamana graph 47% (47670057/100000000) elapsed 1h8m34s
Building Vamana graph 47% (47860675/100000000) elapsed 1h8m49s
Building Vamana graph 48% (48051262/100000000) elapsed 1h9m4s
Building Vamana graph 48% (48241813/100000000) elapsed 1h9m19s
Building Vamana graph 48% (48432315/100000000) elapsed 1h9m34s
Building Vamana graph 48% (48622972/100000000) elapsed 1h9m49s
Building Vamana graph 48% (48813553/100000000) elapsed 1h10m5s
Building Vamana graph 49% (49004242/100000000) elapsed 1h10m20s
Building Vamana graph 49% (49194848/100000000) elapsed 1h10m35s
Building Vamana graph 49% (49385510/100000000) elapsed 1h10m50s
Building Vamana graph 49% (49576357/100000000) elapsed 1h11m5s
Building Vamana graph 49% (49767072/100000000) elapsed 1h11m20s
Building Vamana graph 49% (49957923/100000000) elapsed 1h11m35s
Building Vamana graph 50% (50002456/100000000) elapsed 1h11m38s
Building Vamana graph 50% (50193294/100000000) elapsed 1h11m53s
Building Vamana graph 50% (50383797/100000000) elapsed 1h12m8s
Building Vamana graph 50% (50574684/100000000) elapsed 1h12m23s
Building Vamana graph 50% (50765513/100000000) elapsed 1h12m38s
Building Vamana graph 50% (50956153/100000000) elapsed 1h12m53s
Building Vamana graph 51% (51146975/100000000) elapsed 1h13m8s
Building Vamana graph 51% (51337708/100000000) elapsed 1h13m23s
Building Vamana graph 51% (51528393/100000000) elapsed 1h13m38s
Building Vamana graph 51% (51719109/100000000) elapsed 1h13m53s
Building Vamana graph 51% (51909844/100000000) elapsed 1h14m8s
Building Vamana graph 52% (52100515/100000000) elapsed 1h14m23s
Building Vamana graph 52% (52291316/100000000) elapsed 1h14m38s
Building Vamana graph 52% (52482240/100000000) elapsed 1h14m53s
Building Vamana graph 52% (52673465/100000000) elapsed 1h15m8s
Building Vamana graph 52% (52864263/100000000) elapsed 1h15m23s
Building Vamana graph 53% (53055059/100000000) elapsed 1h15m38s
Building Vamana graph 53% (53245999/100000000) elapsed 1h15m53s
Building Vamana graph 53% (53436965/100000000) elapsed 1h16m8s
Building Vamana graph 53% (53627793/100000000) elapsed 1h16m23s
Building Vamana graph 53% (53818872/100000000) elapsed 1h16m38s
Building Vamana graph 54% (54009627/100000000) elapsed 1h16m53s
Building Vamana graph 54% (54200448/100000000) elapsed 1h17m8s
Building Vamana graph 54% (54391360/100000000) elapsed 1h17m23s
Building Vamana graph 54% (54582173/100000000) elapsed 1h17m38s
Building Vamana graph 54% (54773048/100000000) elapsed 1h17m53s
Building Vamana graph 54% (54963995/100000000) elapsed 1h18m8s
Building Vamana graph 55% (55002097/100000000) elapsed 1h18m11s
Building Vamana graph 55% (55192999/100000000) elapsed 1h18m26s
Building Vamana graph 55% (55384034/100000000) elapsed 1h18m41s
Building Vamana graph 55% (55575206/100000000) elapsed 1h18m56s
Building Vamana graph 55% (55766257/100000000) elapsed 1h19m11s
Building Vamana graph 55% (55957393/100000000) elapsed 1h19m26s
Building Vamana graph 56% (56148584/100000000) elapsed 1h19m41s
Building Vamana graph 56% (56339685/100000000) elapsed 1h19m56s
Building Vamana graph 56% (56530893/100000000) elapsed 1h20m11s
Building Vamana graph 56% (56721869/100000000) elapsed 1h20m26s
Building Vamana graph 56% (56913135/100000000) elapsed 1h20m41s
Building Vamana graph 57% (57104211/100000000) elapsed 1h20m56s
Building Vamana graph 57% (57295230/100000000) elapsed 1h21m11s
Building Vamana graph 57% (57486206/100000000) elapsed 1h21m26s
Building Vamana graph 57% (57677191/100000000) elapsed 1h21m41s
Building Vamana graph 57% (57868087/100000000) elapsed 1h21m56s
Building Vamana graph 58% (58059011/100000000) elapsed 1h22m11s
Building Vamana graph 58% (58250409/100000000) elapsed 1h22m26s
Building Vamana graph 58% (58441689/100000000) elapsed 1h22m41s
Building Vamana graph 58% (58632883/100000000) elapsed 1h22m56s
Building Vamana graph 58% (58824123/100000000) elapsed 1h23m11s
Building Vamana graph 59% (59015286/100000000) elapsed 1h23m26s
Building Vamana graph 59% (59206542/100000000) elapsed 1h23m41s
Building Vamana graph 59% (59397818/100000000) elapsed 1h23m56s
Building Vamana graph 59% (59589245/100000000) elapsed 1h24m11s
Building Vamana graph 59% (59780727/100000000) elapsed 1h24m26s
Building Vamana graph 59% (59972120/100000000) elapsed 1h24m41s
Building Vamana graph 60% (60000874/100000000) elapsed 1h24m44s
Building Vamana graph 60% (60192328/100000000) elapsed 1h24m59s
Building Vamana graph 60% (60383788/100000000) elapsed 1h25m14s
Building Vamana graph 60% (60575198/100000000) elapsed 1h25m29s
Building Vamana graph 60% (60766541/100000000) elapsed 1h25m44s
Building Vamana graph 60% (60957890/100000000) elapsed 1h25m59s
Building Vamana graph 61% (61149345/100000000) elapsed 1h26m14s
Building Vamana graph 61% (61340932/100000000) elapsed 1h26m29s
Building Vamana graph 61% (61532251/100000000) elapsed 1h26m44s
Building Vamana graph 61% (61723781/100000000) elapsed 1h26m59s
Building Vamana graph 61% (61915272/100000000) elapsed 1h27m14s
Building Vamana graph 62% (62106939/100000000) elapsed 1h27m29s
Building Vamana graph 62% (62298562/100000000) elapsed 1h27m44s
Building Vamana graph 62% (62489868/100000000) elapsed 1h27m59s
Building Vamana graph 62% (62681431/100000000) elapsed 1h28m14s
Building Vamana graph 62% (62872745/100000000) elapsed 1h28m29s
Building Vamana graph 63% (63064064/100000000) elapsed 1h28m44s
Building Vamana graph 63% (63255355/100000000) elapsed 1h28m59s
Building Vamana graph 63% (63446456/100000000) elapsed 1h29m14s
Building Vamana graph 63% (63637659/100000000) elapsed 1h29m29s
Building Vamana graph 63% (63828926/100000000) elapsed 1h29m44s
Building Vamana graph 64% (64020321/100000000) elapsed 1h29m59s
Building Vamana graph 64% (64211702/100000000) elapsed 1h30m14s
Building Vamana graph 64% (64403041/100000000) elapsed 1h30m29s
Building Vamana graph 64% (64594431/100000000) elapsed 1h30m44s
Building Vamana graph 64% (64785809/100000000) elapsed 1h30m59s
Building Vamana graph 64% (64977206/100000000) elapsed 1h31m14s
Building Vamana graph 65% (65002738/100000000) elapsed 1h31m16s
Building Vamana graph 65% (65194027/100000000) elapsed 1h31m31s
Building Vamana graph 65% (65385403/100000000) elapsed 1h31m46s
Building Vamana graph 65% (65576745/100000000) elapsed 1h32m1s
Building Vamana graph 65% (65768046/100000000) elapsed 1h32m16s
Building Vamana graph 65% (65959524/100000000) elapsed 1h32m31s
Building Vamana graph 66% (66150799/100000000) elapsed 1h32m46s
Building Vamana graph 66% (66342247/100000000) elapsed 1h33m1s
Building Vamana graph 66% (66533628/100000000) elapsed 1h33m16s
Building Vamana graph 66% (66725069/100000000) elapsed 1h33m31s
Building Vamana graph 66% (66916390/100000000) elapsed 1h33m46s
Building Vamana graph 67% (67107829/100000000) elapsed 1h34m1s
Building Vamana graph 67% (67299124/100000000) elapsed 1h34m16s
Building Vamana graph 67% (67490556/100000000) elapsed 1h34m31s
Building Vamana graph 67% (67681963/100000000) elapsed 1h34m46s
Building Vamana graph 67% (67873205/100000000) elapsed 1h35m1s
Building Vamana graph 68% (68064546/100000000) elapsed 1h35m16s
Building Vamana graph 68% (68255873/100000000) elapsed 1h35m31s
Building Vamana graph 68% (68447086/100000000) elapsed 1h35m46s
Building Vamana graph 68% (68638436/100000000) elapsed 1h36m1s
Building Vamana graph 68% (68829813/100000000) elapsed 1h36m16s
Building Vamana graph 69% (69021104/100000000) elapsed 1h36m31s
Building Vamana graph 69% (69212499/100000000) elapsed 1h36m46s
Building Vamana graph 69% (69403769/100000000) elapsed 1h37m1s
Building Vamana graph 69% (69595188/100000000) elapsed 1h37m16s
Building Vamana graph 69% (69786728/100000000) elapsed 1h37m31s
Building Vamana graph 69% (69978050/100000000) elapsed 1h37m46s
Building Vamana graph 70% (70000409/100000000) elapsed 1h37m47s
Building Vamana graph 70% (70191977/100000000) elapsed 1h38m2s
Building Vamana graph 70% (70383245/100000000) elapsed 1h38m17s
Building Vamana graph 70% (70574633/100000000) elapsed 1h38m32s
Building Vamana graph 70% (70766110/100000000) elapsed 1h38m47s
Building Vamana graph 70% (70957541/100000000) elapsed 1h39m3s
Building Vamana graph 71% (71148821/100000000) elapsed 1h39m18s
Building Vamana graph 71% (71340194/100000000) elapsed 1h39m33s
Building Vamana graph 71% (71531507/100000000) elapsed 1h39m48s
Building Vamana graph 71% (71722607/100000000) elapsed 1h40m3s
Building Vamana graph 71% (71913814/100000000) elapsed 1h40m18s
Building Vamana graph 72% (72105226/100000000) elapsed 1h40m33s
Building Vamana graph 72% (72296547/100000000) elapsed 1h40m48s
Building Vamana graph 72% (72487881/100000000) elapsed 1h41m3s
Building Vamana graph 72% (72679211/100000000) elapsed 1h41m18s
Building Vamana graph 72% (72870409/100000000) elapsed 1h41m33s
Building Vamana graph 73% (73061632/100000000) elapsed 1h41m48s
Building Vamana graph 73% (73252963/100000000) elapsed 1h42m3s
Building Vamana graph 73% (73444445/100000000) elapsed 1h42m18s
Building Vamana graph 73% (73635738/100000000) elapsed 1h42m33s
Building Vamana graph 73% (73826902/100000000) elapsed 1h42m48s
Building Vamana graph 74% (74018282/100000000) elapsed 1h43m3s
Building Vamana graph 74% (74209560/100000000) elapsed 1h43m18s
Building Vamana graph 74% (74401179/100000000) elapsed 1h43m33s
Building Vamana graph 74% (74592531/100000000) elapsed 1h43m48s
Building Vamana graph 74% (74784005/100000000) elapsed 1h44m3s
Building Vamana graph 74% (74975390/100000000) elapsed 1h44m18s
Building Vamana graph 75% (75000926/100000000) elapsed 1h44m20s
Building Vamana graph 75% (75192400/100000000) elapsed 1h44m35s
Building Vamana graph 75% (75383792/100000000) elapsed 1h44m50s
Building Vamana graph 75% (75575343/100000000) elapsed 1h45m5s
